metric,recorded,rerun,delta,pass
PR_AUC,0.17956004596539737,0.17956004596539737,0.0,True
F1,0.24190410802151277,0.24190410802151277,0.0,True
Recall,0.49139934913993494,0.49139934913993494,0.0,True
Precision,0.16044323011536127,0.16044323011536127,0.0,True
Brier,0.23113171153678835,0.23113171153678835,0.0,True
