Model,PR_AUC,F1,Recall,Precision,Brier,tau_F1,tau_HR
lr_classweight_w7,0.1863,0.2444,0.5351,0.1583,0.2276,0.514,0.604
xgb_scaled_w7,0.1852,0.2447,0.4895,0.1632,0.2177,0.543,0.573
