metric,recorded,rerun,delta,pass
PR_AUC,0.18631401072601306,0.18631401072601306,0.0,True
F1,0.24437367303609342,0.24437367303609342,0.0,True
Recall,0.5350999535099954,0.5350999535099954,0.0,True
Precision,0.1583436511211996,0.1583436511211996,0.0,True
Brier,0.22756094250161346,0.22756094250161346,0.0,True
