feature,delta_0.5sd,shift_up,shift_down,mean_shift
number_inpatient,0.591,0.0362,0.0358,0.036
number_emergency,0.3907,0.0065,0.0064,0.0065
time_in_hospital,1.4839,0.0054,0.0054,0.0054
num_procedures,0.852,0.0053,0.0053,0.0053
number_diagnoses,0.9736,0.0051,0.0051,0.0051
num_medications,4.0715,0.0047,0.0046,0.0047
num_lab_procedures,9.8304,0.0003,0.0003,0.0003
number_outpatient,0.6313,0.0003,0.0003,0.0003
